trust_ppl_99,proud_99,geograph_01_99,geograph_02_99,sex_99,year_of_birth_99,education_99,school_99,allow_work_99,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_mentally_ill,avoid_muslims,avoid_immigrants,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_gypsies,avoid_dont_care
most can be trusted,quite proud,own town,local region,male,48,NA,2,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,43,master from university,1,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,female,37,NA,4,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,42,skilled education,4,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,44,military education,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,24,NA,15,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,quite proud,local region,own town,female,23,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,34,skilled education,4,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own town,female,42,buisness or banking,13,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,dont know,male,63,other,2,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,male,49,military education,4,limmit amount of foreigners in the country,checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,local region,female,20,NA,16,forbid foreigners to enter the country,checked,not checked,not checked,checked,not checked,checked,checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,local region,own town,female,21,skilled education,4,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,the whole world,male,62,skilled education,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,female,47,education - 3-4 years,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,58,NA,13,allow as long as there is jobs for Danes,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not at all proud,own town,local region,male,38,skilled education,16,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,female,50,NA,3,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,51,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,49,skilled education,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,dont know,female,26,NA,15,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,58,skilled education,2,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,female,35,skilled education,4,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,30,education - 3-4 years,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own town,dont know,female,37,technical - 2-3 years,7,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,NA,NA,female,54,NA,13,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,local region,male,60,skilled education,3,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,43,skilled education,6,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,33,FE technical,14,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,69,other,2,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,own town,local region,male,54,skilled education,3,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,36,skilled education,6,dont know,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,51,skilled education,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,53,skilled education,3,everybody allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,66,NA,2,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,local region,male,47,buisness or banking,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,dont know,dont know,female,42,NA,4,dont know,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,dont know,dont know,male,28,NA,6,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,33,skilled education,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,Europe,male,26,skilled education,14,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,very proud,own town,local region,male,25,education - 3-4 years,14,limmit amount of foreigners in the country,not checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,undetermined,NA,NA,male,45,FE technical,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,local region,own country,male,65,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,70,NA,2,dont know,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,checked,not checked
can't be too careful,not very proud,own town,own country,male,63,other,3,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own town,male,50,skilled education,3,limmit amount of foreigners in the country,checked,checked,checked,checked,checked,not checked,checked,checked,checked,checked,checked,checked,checked,checked,not checked
can't be too careful,very proud,own country,local region,male,27,technical - 2-3 years,7,allow as long as there is jobs for Danes,checked,checked,checked,not checked,not checked,not checked,checked,checked,checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,female,24,master from university,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,58,skilled education,3,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,own town,own country,male,21,skilled education,6,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,35,education - 3-4 years,15,everybody allowed,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,57,NA,2,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,female,25,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,very proud,own town,local region,female,36,skilled education,6,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,local region,female,66,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,the whole world,male,64,education - 3-4 years,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,male,53,skilled education,6,limmit amount of foreigners in the country,checked,checked,checked,checked,checked,not checked,checked,checked,checked,checked,checked,checked,checked,checked,not checked
can't be too careful,very proud,own town,own country,male,67,NA,2,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,female,45,education - 3-4 years,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not at all proud,own country,own town,male,35,skilled education,4,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,female,57,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own town,female,32,NA,4,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,49,skilled education,4,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,63,short buisness or computer science,13,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,55,short buisness or computer science,2,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,55,NA,13,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,local region,the whole world,male,42,FE technical,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,local region,female,47,education - 3-4 years,15,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,67,NA,2,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,the whole world,own country,female,38,education - 3-4 years,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,45,skilled education,13,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,local region,male,21,other,6,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,male,32,skilled education,6,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,Europe,male,41,FE technical,10,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,male,21,NA,3,limmit amount of foreigners in the country,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,local region,own town,male,44,NA,2,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,64,NA,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,the whole world,own town,male,25,NA,6,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,local region,male,51,FE technical,5,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,51,skilled education,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,21,skilled education,6,limmit amount of foreigners in the country,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,47,education - 3-4 years,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,53,skilled education,13,forbid foreigners to enter the country,not checked,not checked,checked,not checked,checked,not checked,checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own town,male,29,short buisness or computer science,4,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,46,skilled education,13,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,the whole world,own town,female,40,education - 3-4 years,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,31,skilled education,4,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,69,skilled education,13,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,local region,own country,female,52,social- and health - 1 year,2,forbid foreigners to enter the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,35,social- and health - 3-4 years,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,64,social- and health - 1 year,12,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,female,41,short buisness or computer science,13,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,54,education - 3-4 years,13,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own town,female,20,short buisness or computer science,6,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,20,NA,16,limmit amount of foreigners in the country,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,55,education - 3-4 years,13,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,very proud,local region,own country,male,64,NA,2,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked
most can be trusted,quite proud,own country,own town,female,32,technical - 2-3 years,7,dont know,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,own country,local region,female,39,skilled education,11,limmit amount of foreigners in the country,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,local region,own country,female,54,buisness or banking,15,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,very proud,own town,own country,male,64,skilled education,2,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,male,55,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,female,70,social- and health - 1 year,4,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,18,NA,6,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,local region,male,55,skilled education,2,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own country,female,28,education - 3-4 years,15,everybody allowed,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,Europe,local region,male,52,skilled education,4,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,local region,female,23,social- and health - 1 year,6,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,Europe,local region,male,64,special-worker-course,2,allow as long as there is jobs for Danes,not checked,checked,checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,41,NA,13,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,local region,NA,male,41,NA,6,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,local region,own country,male,35,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,NA,female,60,NA,2,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,22,short buisness or computer science,6,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,local region,female,35,short buisness or computer science,4,forbid foreigners to enter the country,checked,checked,not checked,checked,checked,not checked,checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,own country,own town,female,35,short buisness or computer science,6,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,male,31,FE technical,6,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,own town,local region,female,66,education - 3-4 years,13,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,undetermined,NA,NA,female,47,NA,16,forbid foreigners to enter the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,checked,checked,not checked,checked,not checked
most can be trusted,very proud,own town,local region,male,47,military education,13,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own town,male,19,NA,16,limmit amount of foreigners in the country,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,35,technical - 2-3 years,4,forbid foreigners to enter the country,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,43,master from university,15,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own town,local region,male,49,NA,15,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,25,NA,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,female,27,education - 3-4 years,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,male,23,master from university,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,own town,local region,male,39,education - 3-4 years,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own town,female,23,NA,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,male,23,master from university,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,24,master from university,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own country,male,51,FE technical,4,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,37,NA,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,Europe,female,24,education - 3-4 years,15,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,own country,own town,female,48,NA,2,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,27,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,52,technical - 2-3 years,5,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,24,other,15,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
