trust_ppl_99,proud_99,geograph_01_99,geograph_02_99,sex_99,year_of_birth_99,education_99,school_99,allow_work_99,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_mentally_ill,avoid_muslims,avoid_immigrants,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_gypsies,avoid_dont_care
most can be trusted,very proud,local region,own country,female,32,master from university,15,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,32,social- and health - 3-4 years,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,own country,dont know,male,33,NA,6,dont know,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,undetermined,own country,Europe,female,50,master from university,16,dont know,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,dont know,own country,female,26,master from university,14,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,dont know,dont know,male,41,NA,16,dont know,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,own country,own town,female,27,NA,16,everybody allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,female,39,NA,2,forbid foreigners to enter the country,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,very proud,the whole world,own country,female,47,social- and health - 1 year,13,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,dont know,male,31,skilled education,15,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,29,master from university,15,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,dont know,female,25,master from university,15,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,male,26,master from university,15,everybody allowed,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,Europe,female,57,skilled education,4,limmit amount of foreigners in the country,checked,checked,not checked,checked,not checked,checked,checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,very proud,own town,own country,male,28,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,own town,local region,male,37,NA,6,dont know,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,very proud,local region,own country,female,25,skilled education,6,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,own country,female,42,short buisness or computer science,13,allow as long as there is jobs for Danes,checked,checked,not checked,checked,checked,checked,checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,26,NA,2,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,40,other,15,everybody allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,Europe,male,52,NA,4,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,undetermined,Europe,the whole world,male,20,NA,6,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,30,technical - 2-3 years,4,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,female,40,master from university,15,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,dont know,female,69,NA,2,limmit amount of foreigners in the country,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,not checked,not checked,checked,not checked
