trust_ppl_08,proud_08,geograph_01_08,geograph_02_08,sex_08,year_of_birth_08,education_08,school_08,allow_work_08,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_immigrants,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_gypsies
most can be trusted,quite proud,own town,own country,male,40-49 år,skilled education,10th grade,limmit amount of foreigners in the country,checked,checked,checked,checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own town,female,60-69 år,social- and health - 3-4 years,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,male,30-39 år,skilled education,9th grade,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own town,female,50-59 år,skilled education,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own country,male,50-59 år,skilled education,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,male,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,local region,Europe,female,40-49 år,NA,8th grade,allow as long as there is jobs for Danes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,undetermined,own town,local region,female,30-39 år,master from university,10th grade,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,female,30-39 år,master from university,gymnasium or simmilar no examn,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,female,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,undetermined,own town,own country,female,30-39 år,social- and health - 1 year,7th grade or less,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,local region,own country,female,70 år +,social- and health - 1 year,7th grade or less,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,70 år +,education - 3-4 years,realcourse no examn,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,female,70 år +,NA,7th grade or less,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,local region,own country,female,40-49 år,social- and health - 3-4 years,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,undetermined,own town,dont know,female,30-39 år,NA,other,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own town,local region,female,30-39 år,education - 3-4 years,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,local region,female,60-69 år,education - 3-4 years,real- girl- and preliminary examn,allow as long as there is jobs for Danes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,own town,own country,female,60-69 år,NA,7th grade or less,dont know,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,not very proud,Europe,the whole world,male,70 år +,FE technical,student or HF,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,quite proud,own town,local region,female,60-69 år,NA,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,dont know,female,70 år +,NA,7th grade or less,dont know,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,30-39 år,skilled education,10th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,the whole world,male,60-69 år,skilled education,8th grade,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,male,60-69 år,master from university,2nd real,allow as long as there is jobs for Danes,checked,checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,Europe,male,60-69 år,buisness or banking,gymnasium or simmilar no examn,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,female,60-69 år,skilled education,middleschool examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,female,60-69 år,buisness or banking,real- girl- and preliminary examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,40-49 år,social- and health - 3-4 years,student or HF,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,not very proud,own town,local region,male,30-39 år,master from university,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,Europe,female,40-49 år,social- and health - 3-4 years,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own country,Europe,female,40-49 år,master from university,student or HF,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,undetermined,own country,own town,female,30-39 år,education - 3-4 years,middleschool examn,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,checked
most can be trusted,quite proud,the whole world,own town,female,40-49 år,skilled education,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,Europe,male,60-69 år,skilled education,8th grade,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,Europe,the whole world,male,60-69 år,skilled education,real- girl- and preliminary examn,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,40-49 år,education - 3-4 years,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,female,30-39 år,master from university,student or HF,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own town,own country,male,50-59 år,NA,student or HF,everybody allowed,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,very proud,own country,local region,female,40-49 år,NA,9th grade,everybody allowed,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,undetermined,own country,dont know,male,30-39 år,special-worker-course,8th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,70 år +,short buisness or computer science,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,60-69 år,education - 3-4 years,real- girl- and preliminary examn,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,own town,female,30-39 år,master from university,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,50-59 år,education - 3-4 years,gymnasium or simmilar no examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,female,60-69 år,special-worker-course,10th grade,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,male,30-39 år,master from university,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,male,30-39 år,skilled education,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,female,50-59 år,buisness or banking,real- girl- and preliminary examn,everybody allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,male,30-39 år,skilled education,10th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,local region,own country,female,40-49 år,education - 3-4 years,gymnasium or simmilar no examn,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,local region,male,60-69 år,skilled education,student or HF,everybody allowed,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,the whole world,male,40-49 år,NA,student or HF,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,female,40-49 år,NA,10th grade,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,50-59 år,master from university,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,50-59 år,military education,10th grade,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own country,local region,female,50-59 år,skilled education,10th grade,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,undetermined,own town,local region,female,30-39 år,social- and health - 3-4 years,student or HF,allow as long as there is jobs for Danes,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not at all proud,own town,Europe,female,70 år +,skilled education,real- girl- and preliminary examn,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own town,own country,female,40-49 år,education - 3-4 years,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not at all proud,own country,own town,male,70 år +,FE technical,realcourse no examn,everybody allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,50-59 år,skilled education,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,own country,female,40-49 år,military education,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,female,50-59 år,buisness or banking,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,female,50-59 år,education - 3-4 years,gymnasium or simmilar no examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,female,50-59 år,social- and health - 3-4 years,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,checked,not checked,not checked,checked
most can be trusted,not very proud,the whole world,own town,female,40-49 år,education - 3-4 years,student or HF,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,60-69 år,education - 3-4 years,real- girl- and preliminary examn,allow as long as there is jobs for Danes,checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,60-69 år,social- and health - 3-4 years,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,40-49 år,skilled education,9th grade,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,male,60-69 år,skilled education,7th grade or less,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
can't be too careful,quite proud,local region,own country,male,50-59 år,master from university,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,quite proud,own town,Europe,female,30-39 år,technical - 2-3 years,10th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,very proud,own country,Europe,female,70 år +,social- and health - 1 year,real- girl- and preliminary examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,the whole world,female,40-49 år,master from university,gymnasium or simmilar no examn,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,30-39 år,master from university,student or HF,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,female,50-59 år,buisness or banking,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,Europe,female,40-49 år,social- and health - 3-4 years,gymnasium or simmilar no examn,everybody allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,60-69 år,FE technical,middleschool examn,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own country,Europe,male,50-59 år,education - 3-4 years,gymnasium or simmilar no examn,everybody allowed,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,70 år +,education - 3-4 years,real- girl- and preliminary examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,Europe,female,40-49 år,buisness or banking,gymnasium or simmilar no examn,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,female,30-39 år,skilled education,9th grade,limmit amount of foreigners in the country,not checked,checked,not checked,checked,not checked,not checked,checked,checked,checked,not checked,checked,checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,50-59 år,short buisness or computer science,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,female,18-29 år,skilled education,9th grade,dont know,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,female,40-49 år,skilled education,10th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,60-69 år,NA,7th grade or less,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,male,40-49 år,buisness or banking,10th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,30-39 år,social- and health - 3-4 years,gymnasium or simmilar no examn,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,female,50-59 år,social- and health - 1 year,8th grade,limmit amount of foreigners in the country,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,own country,local region,male,50-59 år,skilled education,student or HF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,own town,own country,male,70 år +,skilled education,middleschool examn,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not at all proud,own town,own country,male,60-69 år,FE technical,9th grade,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,local region,own country,female,60-69 år,other,real- girl- and preliminary examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,own town,female,40-49 år,education - 3-4 years,real- girl- and preliminary examn,everybody allowed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,own country,own town,male,70 år +,other,middleschool examn,allow as long as there is jobs for Danes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,own country,own town,female,40-49 år,skilled education,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,very proud,own country,own town,female,40-49 år,social- and health - 3-4 years,10th grade,limmit amount of foreigners in the country,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,Europe,own country,male,50-59 år,master from university,gymnasium or simmilar no examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,40-49 år,skilled education,9th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,female,50-59 år,social- and health - 3-4 years,other,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own country,local region,female,60-69 år,skilled education,7th grade or less,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own country,local region,female,40-49 år,NA,9th grade,allow as long as there is jobs for Danes,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,female,50-59 år,social- and health - 3-4 years,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,50-59 år,NA,10th grade,limmit amount of foreigners in the country,checked,not checked,not checked,checked,checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,very proud,own country,Europe,male,40-49 år,master from university,student or HF,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,own town,male,40-49 år,master from university,student or HF,limmit amount of foreigners in the country,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own town,local region,female,60-69 år,skilled education,real- girl- and preliminary examn,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,male,40-49 år,master from university,student or HF,everybody allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,40-49 år,buisness or banking,10th grade,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,female,40-49 år,education - 3-4 years,student or HF,allow as long as there is jobs for Danes,checked,not checked,checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own country,Europe,female,50-59 år,buisness or banking,real- girl- and preliminary examn,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,quite proud,local region,own country,female,40-49 år,NA,gymnasium or simmilar no examn,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,30-39 år,skilled education,10th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,male,30-39 år,skilled education,10th grade,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own town,male,60-69 år,FE technical,8th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked
can't be too careful,very proud,own town,local region,female,70 år +,NA,3rd real no examn,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
can't be too careful,quite proud,local region,own country,male,30-39 år,NA,9th grade,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,checked
most can be trusted,very proud,own country,own town,male,40-49 år,skilled education,10th grade,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,female,50-59 år,skilled education,10th grade,limmit amount of foreigners in the country,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,own country,the whole world,female,50-59 år,education - 3-4 years,student or HF,dont know,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,female,50-59 år,NA,real- girl- and preliminary examn,limmit amount of foreigners in the country,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,not very proud,local region,own country,female,60-69 år,skilled education,real- girl- and preliminary examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,quite proud,own country,own town,male,50-59 år,FE technical,student or HF,allow as long as there is jobs for Danes,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,own country,female,40-49 år,social- and health - 3-4 years,student or HF,everybody allowed,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
most can be trusted,very proud,own town,local region,female,30-39 år,technical - 2-3 years,student or HF,allow as long as there is jobs for Danes,checked,not checked,checked,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked
most can be trusted,not very proud,own country,own town,female,30-39 år,master from university,student or HF,everybody allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,female,70 år +,social- and health - 3-4 years,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,male,50-59 år,skilled education,real- girl- and preliminary examn,limmit amount of foreigners in the country,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,very proud,the whole world,own town,male,60-69 år,FE technical,3rd real no examn,allow as long as there is jobs for Danes,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,undetermined,own country,local region,male,60-69 år,skilled education,10th grade,allow as long as there is jobs for Danes,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know,dont know
