trust_ppl_81,proud_81,class_81,geograph_01_81,geograph_02_81,sex_81,year_of_birth_81,occupation_81,education_age_81,avoid_criminals,avoid_other_race,avoid_students,avoid_LW_extremists,avoid_unm_mothers,avoid_heavy_drinkers,avoid_RW_extremists,avoid_large_families,avoid_emotionally_unst,avoid_minority_sects,avoid_foreign_workers
most can be trusted,very proud,AB,own country,own town,female (working),45,mdl. lvl. non-manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,C1,the whole world,own country,female (working),28,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C1,local region,own town,male,42,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,NA,NA,female (working),43,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,own town,own country,female (housewife),34,jun. lvl. non-manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,AB,own country,Europe,male,23,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,C2,own town,local region,female (housewife),45,semi-skilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,own country,own town,male,14,skilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,local region,own country,male,10,small buisnessowner,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,local region,male,45,skilled manual,19,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,C1,own country,own town,female (working),60,jun. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,DE,own country,own town,male,40,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,own country,own town,male,33,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,own country,local region,female (working),40,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,local region,female (housewife),40,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C2,own town,own country,male,46,supervisor manual,21 or over,checked,not checked,not checked,checked,not checked,checked,checked,checked,checked,checked,not checked
can't be too careful,not very proud,C1,the whole world,Europe,female (working),46,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,AB,own country,Europe,female (working),46,jun. lvl. non-manual,19,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,not very proud,C2,own town,local region,female (working),56,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own country,local region,female (working),49,farmers,14,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,checked,not checked
can't be too careful,not very proud,C2,own town,local region,female (working),56,skilled manual,20,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,C1,own country,own town,male,6,farmers,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
undetermined,not very proud,C1,own town,the whole world,female (working),36,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,Europe,male,39,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,Europe,female (housewife),6,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,C2,own country,own town,male,21,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C1,own country,local region,female (working),58,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,DE,own town,local region,male,45,unskilled manual,15,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,DE,own town,own country,male,3,unskilled manual,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own town,own country,male,51,skilled manual,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not at all proud,C1,own country,the whole world,female (housewife),32,small buisnessowner,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,DE,own country,the whole world,male,57,unskilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,own town,female (working),55,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,local region,own country,female (working),35,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,local region,male,52,armed forces,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,DE,own town,local region,male,42,agricultural workers,14,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,NA,NA,male,13,farmers,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,local region,own town,male,93,farmers,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not at all proud,C1,local region,own country,male,37,farmers,16,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,C1,own town,own country,male,98,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,NA,NA,female (working),40,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own country,own town,female (working),60,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C1,local region,own country,male,42,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,AB,own town,own country,male,98,NA,18,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,the whole world,own country,female (working),32,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,"NA",C1,own country,Europe,female (housewife),1,jun. lvl. non-manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,"NA",C1,local region,own country,female (housewife),49,jun. lvl. non-manual,19,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked
can't be too careful,not very proud,C2,own town,own country,female (housewife),60,semi-skilled manual,15,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,"NA",C1,the whole world,own country,male,59,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,"NA",AB,the whole world,own town,male,26,prof. worker,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,C1,own town,own country,female (housewife),3,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,local region,own country,male,51,agricultural workers,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,DE,own country,own town,male,63,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,DE,own country,own town,female (working),31,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own town,own country,male,50,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C1,own town,own country,female (housewife),6,unskilled manual,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,own country,female (housewife),47,skilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
