trust_ppl_81,proud_81,class_81,geograph_01_81,geograph_02_81,sex_81,year_of_birth_81,occupation_81,education_age_81,avoid_criminals,avoid_other_race,avoid_students,avoid_LW_extremists,avoid_unm_mothers,avoid_heavy_drinkers,avoid_RW_extremists,avoid_large_families,avoid_emotionally_unst,avoid_minority_sects,avoid_foreign_workers
most can be trusted,quite proud,DE,own town,own country,female (housewife),24,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
undetermined,very proud,C2,own country,own town,female (housewife),53,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own country,local region,female (working),45,unskilled manual,16,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,DE,own town,local region,male,54,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own country,the whole world,female (housewife),16,unskilled manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,own country,male,25,supervisor manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,own town,male,60,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,Europe,male,46,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,local region,own town,male,52,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,C1,NA,NA,male,44,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,C2,own town,own country,male,33,semi-skilled manual,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked
can't be too careful,quite proud,DE,local region,own country,male,41,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
undetermined,not at all proud,DE,own country,NA,female (housewife),14,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,DE,own town,own country,male,30,unskilled manual,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,own country,own town,male,46,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own country,own town,female (working),36,semi-skilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own town,own country,female (working),63,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own town,own country,female (working),63,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own town,local region,male,49,small buisnessowner,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,the whole world,own country,male,60,NA,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own country,local region,female (working),54,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,C1,own town,own country,female (housewife),9,small buisnessowner,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
undetermined,not very proud,AB,own country,own town,female (working),52,jun. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C2,own town,local region,male,30,supervisor manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,the whole world,local region,female (housewife),58,NA,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
undetermined,not at all proud,DE,own town,NA,male,5,agricultural workers,12 or under,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,NA,NA,male,98,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own country,Europe,male,47,semi-skilled manual,14,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,C2,own town,the whole world,male,19,skilled manual,21 or over,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own country,local region,female (housewife),52,unskilled manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,DE,own town,own country,male,11,unskilled manual,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,C1,own country,Europe,female (housewife),5,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,DE,own country,Europe,male,12,agricultural workers,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked
can't be too careful,quite proud,C1,own country,own town,male,6,small buisnessowner,18,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked
most can be trusted,quite proud,AB,local region,own country,female (working),44,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,own town,female (housewife),30,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own town,local region,female (working),40,semi-skilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,Europe,own country,female (working),60,semi-skilled manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,NA,NA,female (housewife),13,NA,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
undetermined,not very proud,C1,local region,own country,male,22,jun. lvl. non-manual,21 or over,not checked,checked,not checked,checked,not checked,checked,not checked,not checked,checked,checked,not checked
most can be trusted,quite proud,C1,own town,own country,female (working),45,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,own country,male,10,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,own town,own country,male,58,unskilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not at all proud,DE,own town,own country,female (working),25,jun. lvl. non-manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own country,the whole world,male,23,supervisor manual,20,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,C1,NA,NA,male,36,jun. lvl. non-manual,18,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,Europe,own country,female (working),48,jun. lvl. non-manual,18,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked
most can be trusted,not very proud,C1,own country,local region,male,48,jun. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own country,local region,female (working),46,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,AB,NA,NA,male,22,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,the whole world,own country,male,51,jun. lvl. non-manual,20,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,C2,own town,own country,female (working),15,jun. lvl. non-manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own town,local region,female (working),47,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C1,Europe,local region,female (working),52,small buisnessowner,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own country,local region,female (working),29,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,quite proud,C2,own town,the whole world,male,42,skilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,NA,NA,female (housewife),34,NA,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,local region,own town,female (housewife),43,NA,18,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,"NA",C2,own country,the whole world,female (working),45,supervisor manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,own country,male,63,NA,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,DE,own town,own country,female (housewife),48,unskilled manual,15,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,C2,own town,local region,male,11,skilled manual,18,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,DE,own country,own town,female (working),33,unskilled manual,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C2,own town,local region,male,48,supervisor manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,DE,own town,local region,male,7,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,C2,own country,local region,female (working),51,unskilled manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C1,NA,own country,male,30,supervisor manual,21 or over,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C2,own town,own country,female (working),51,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C1,the whole world,Europe,male,22,farmers,13,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,DE,NA,NA,female (housewife),18,NA,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
undetermined,not very proud,C2,own country,local region,female (working),61,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own town,Europe,female (housewife),25,NA,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,not very proud,C1,local region,own country,female (working),46,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,AB,own town,own country,female (working),29,mdl. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not at all proud,C1,own town,own country,female (working),47,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C1,local region,own town,male,24,small buisnessowner,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
undetermined,not at all proud,C2,local region,own country,male,27,skilled manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked
can't be too careful,quite proud,C2,own town,own country,male,8,semi-skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,AB,own town,own country,female (working),19,mdl. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,own country,local region,female (working),47,unskilled manual,18,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,AB,local region,own country,male,41,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C1,own country,own town,female (working),23,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,Europe,own country,male,48,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own town,own country,female (working),27,jun. lvl. non-manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,C1,own country,Europe,female (working),52,jun. lvl. non-manual,16,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,very proud,AB,own town,local region,female (working),27,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,DE,own town,local region,male,32,unskilled manual,19,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,C1,Europe,own town,male,54,prof. worker,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,not very proud,C1,own town,the whole world,male,54,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
most can be trusted,quite proud,C1,own country,own town,female (housewife),32,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,Europe,own town,female (working),46,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own country,own town,female (housewife),8,semi-skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own country,own town,male,24,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own town,local region,male,41,jun. lvl. non-manual,16,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,DE,own town,local region,female (housewife),10,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,NA,female (working),37,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,local region,own town,female (working),61,semi-skilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked
undetermined,not very proud,AB,local region,own country,male,16,mdl. lvl. non-manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,DE,NA,NA,male,59,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own country,local region,female (housewife),43,unskilled manual,14,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,checked
most can be trusted,quite proud,C2,own country,own town,female (working),48,supervisor manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own country,local region,male,99,semi-skilled manual,14,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
can't be too careful,not at all proud,C2,local region,own town,female (working),40,skilled manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,own country,female (working),45,semi-skilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own town,local region,female (working),44,skilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,the whole world,own country,female (working),60,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,the whole world,own country,male,62,NA,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked
most can be trusted,very proud,C2,local region,own country,female (housewife),24,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,local region,own country,female (housewife),13,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own town,own country,female (housewife),37,supervisor manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,local region,male,55,skilled manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked
most can be trusted,quite proud,AB,NA,NA,female (working),46,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,C1,own town,own country,female (working),40,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,own town,own country,female (housewife),15,unskilled manual,19,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked
can't be too careful,quite proud,C1,own town,own country,female (working),42,jun. lvl. non-manual,20,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,C1,own town,own country,male,54,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own country,the whole world,male,54,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own town,local region,female (working),18,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,DE,own town,local region,female (housewife),10,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked
can't be too careful,not very proud,C1,own country,own town,male,97,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,very proud,AB,own country,Europe,male,18,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,own country,Europe,male,51,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own town,own country,female (working),50,jun. lvl. non-manual,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,NA,female (housewife),0,jun. lvl. non-manual,21 or over,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not at all proud,AB,local region,own country,male,27,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked
can't be too careful,not very proud,C1,own town,local region,female (housewife),37,NA,14,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,C2,own town,own country,female (housewife),21,jun. lvl. non-manual,19,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,checked,checked,checked
most can be trusted,quite proud,C1,own town,own country,female (housewife),16,NA,16,checked,not checked,not checked,checked,not checked,checked,not checked,not checked,checked,not checked,not checked
can't be too careful,not very proud,DE,own town,own country,male,17,unskilled manual,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own country,local region,female (housewife),34,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own town,own country,female (working),47,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,local region,Europe,female (working),36,semi-skilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own town,own country,female (housewife),14,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,own town,male,63,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C2,own country,local region,female (housewife),14,NA,17,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked
can't be too careful,quite proud,DE,own town,local region,female (working),62,unskilled manual,18,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,AB,own country,own town,male,36,mdl. lvl. non-manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,own country,local region,male,8,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,own town,local region,female (housewife),8,farmers,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,DE,local region,NA,female (working),44,unskilled manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,AB,local region,own country,male,9,mdl. lvl. non-manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own town,local region,male,54,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,C2,own town,own country,male,63,skilled manual,21 or over,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked
most can be trusted,not very proud,C1,own country,local region,female (working),48,unskilled manual,14,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,Europe,own country,male,49,skilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,AB,own country,own town,male,25,mdl. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked
most can be trusted,not very proud,AB,own country,own town,male,36,large buisnessowner,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own country,own town,female (working),53,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,"NA",C2,own town,own country,female (housewife),9,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own town,own country,female (working),47,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,local region,own country,female (housewife),11,jun. lvl. non-manual,20,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,C1,local region,own town,female (working),38,jun. lvl. non-manual,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,local region,own country,female (housewife),46,supervisor manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C2,own country,NA,female (working),55,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,DE,own town,own country,female (working),61,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own country,the whole world,male,18,skilled manual,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C1,own town,own country,female (working),31,jun. lvl. non-manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own country,own town,male,22,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,C2,the whole world,Europe,male,56,skilled manual,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own town,own country,female (housewife),28,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not very proud,C1,own town,own country,female (housewife),43,NA,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,not very proud,C2,own country,own town,female (housewife),61,NA,16,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked
can't be too careful,not very proud,DE,own town,own country,male,60,unskilled manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C2,own town,local region,female (working),63,unskilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,AB,own town,own country,male,44,mdl. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,very proud,DE,own town,own country,female (housewife),62,NA,18,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,checked
most can be trusted,"NA",DE,own town,own country,female (housewife),54,unskilled manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,DE,own country,own town,male,55,unskilled manual,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,C1,own country,own town,male,54,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,quite proud,C1,own town,own country,female (housewife),6,farmers,14,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,DE,own town,own country,female (housewife),52,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,not at all proud,AB,Europe,own town,male,46,prof. worker,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
undetermined,not very proud,C1,own country,own town,male,54,jun. lvl. non-manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not at all proud,DE,own town,local region,male,44,unskilled manual,15,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own town,local region,female (working),58,jun. lvl. non-manual,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,AB,own country,own town,female (housewife),63,NA,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,local region,female (housewife),49,jun. lvl. non-manual,21 or over,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,C2,own country,local region,male,51,semi-skilled manual,18,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,C1,own town,own country,female (housewife),20,NA,14,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,DE,own town,own country,female (housewife),35,NA,14,checked,checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,checked
most can be trusted,quite proud,DE,own town,own country,female (housewife),19,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,quite proud,C1,own country,Europe,male,18,jun. lvl. non-manual,21 or over,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,C1,own town,own country,male,95,farmers,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,quite proud,C2,own town,local region,male,59,skilled manual,21 or over,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
