trust_ppl_90,proud_90,geograph_01_90,geograph_02_90,sex_90,year_of_birth_90,occupation_90,education_90,school_90,allow_work_90,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_foreign_workers,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_hindu,avoid_dont_care
most can be trusted,very proud,local region,own country,female,16,NA,other,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not at all proud,local region,own town,female,16,functionary with education,education - 3-4 years,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,dont know,female,17,non-skilled,NA,7th grade or less,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,17,wife,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,female,17,NA,NA,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,own town,own country,female,17,functionary with education,social- and health - 1 year,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,local region,own town,female,17,NA,NA,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,not very proud,local region,own country,female,17,functionary with education,skilled education,student or HF,allowed,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,female,17,functionary with education,skilled education,technical examn,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,female,17,functionary with education,skilled education,7th grade or less,not allowed,checked,checked,checked,checked,checked,not checked,not checked,checked,checked,checked,checked,checked,checked,checked,not checked
can't be too careful,very proud,own town,local region,female,18,wife,NA,7th grade or less,not allowed,checked,checked,checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,18,non-skilled,NA,7th grade or less,dont know,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,female,18,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,female,18,non-skilled,NA,7th grade or less,not allowed,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,checked,checked,not checked
