trust_ppl_90,proud_90,geograph_01_90,geograph_02_90,sex_90,year_of_birth_90,occupation_90,education_90,school_90,allow_work_90,avoid_criminal,avoid_other_race,avoid_LW,avoid_alchoholics,avoid_RW,avoid_families,avoid_neurotic,avoid_muslims,avoid_foreign_workers,avoid_ppl_w_aids,avoid_drug_addicts,avoid_homosexuals,avoid_jews,avoid_hindu,avoid_dont_care
most can be trusted,not very proud,local region,Europe,female,70,teinee - shop or office,skilled education,student or HF,allowed,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,female,70,non-skilled,NA,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,own town,own country,female,70,NA,NA,still in shool,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,not danish,own country,local region,female,70,non-skilled,NA,9th grade,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,local region,female,70,NA,short buisness or computer science,10th grade,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,female,70,NA,NA,still in shool,either or,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,own country,female,70,NA,NA,still in shool,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not danish,Europe,own country,female,71,NA,NA,still in shool,allowed,checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,checked,not checked
most can be trusted,very proud,own town,own country,female,71,teinee - shop or office,skilled education,9th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,female,71,NA,NA,still in shool,allowed,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,female,71,NA,NA,still in shool,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,local region,Europe,female,71,NA,NA,still in shool,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,local region,female,71,teinee - shop or office,skilled education,10th grade,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,female,72,non-skilled,NA,9th grade,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own town,female,72,NA,NA,gymnasium or simmilar no examn,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,female,72,NA,NA,10th grade,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,1,large buisnessowner,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,very proud,own town,local region,male,2,non-skilled,NA,7th grade or less,allowed,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,Europe,male,3,functionary with education,technical - 2-3 years,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,3,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,Europe,male,4,Farmer,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,4,Farmer,NA,still in shool,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,local region,male,5,skilled,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
undetermined,very proud,own town,local region,male,5,skilled,skilled education,7th grade or less,dont know,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,Europe,own town,male,6,self-supporting akademic,master from university,student or HF,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,6,skilled,skilled education,7th grade or less,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,dont know,dont know,male,8,small buisnessowner,NA,7th grade or less,not allowed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
most can be trusted,very proud,own town,own country,male,8,small buisnessowner,skilled education,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,own town,local region,male,9,skilled,skilled education,7th grade or less,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,9,small buisnessowner,skilled education,real- girl- and preliminary examn,not allowed,checked,checked,not checked,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,11,Farmer,NA,7th grade or less,not allowed,not checked,checked,checked,checked,not checked,not checked,not checked,checked,checked,checked,checked,checked,not checked,checked,not checked
can't be too careful,very proud,own town,dont know,male,11,Farmer,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,11,functionary with education,military education,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,local region,own country,male,12,agricultural workers,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,13,non-skilled,skilled education,7th grade or less,either or,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,Europe,own country,male,13,small buisnessowner,other,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,14,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not at all proud,local region,own country,male,14,leading functionary,buisness or banking,real- girl- and preliminary examn,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,14,non-skilled,NA,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,14,non-skilled,NA,7th grade or less,not allowed,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,15,functionary without education,NA,7th grade or less,dont know,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,not very proud,own town,own country,male,15,small buisnessowner,social- and health - 3-4 years,student or HF,not allowed,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own country,male,15,Farmer,NA,7th grade or less,not allowed,checked,checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own town,male,15,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not at all proud,local region,own country,male,16,leading functionary,master from university,student or HF,allowed,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,16,non-skilled,NA,7th grade or less,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own country,Europe,male,16,small buisnessowner,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,own country,male,16,leading functionary,FE technical,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,16,Farmer,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
undetermined,quite proud,own town,local region,male,17,small buisnessowner,skilled education,real- girl- and preliminary examn,not allowed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't be too careful,not very proud,local region,own town,male,17,non-skilled,NA,7th grade or less,not allowed,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,not checked
most can be trusted,quite proud,local region,own country,male,17,functionary with education,education - 3-4 years,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,17,leading functionary,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,undetermined,local region,own country,male,18,self-supporting akademic,master from university,student or HF,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,18,functionary with education,skilled education,7th grade or less,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,18,functionary with education,education - 3-4 years,student or HF,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,local region,own country,male,18,Farmer,NA,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
undetermined,not at all proud,the whole world,own town,male,19,armed forces,military education,student or HF,allowed,checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,undetermined,own country,the whole world,male,19,leading functionary,master from university,student or HF,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,Europe,male,19,small buisnessowner,buisness or banking,real- girl- and preliminary examn,not allowed,checked,not checked,checked,checked,checked,not checked,checked,checked,not checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,male,20,large buisnessowner,skilled education,real- girl- and preliminary examn,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,20,Farmer,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,the whole world,own country,male,20,functionary with education,master from university,student or HF,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,20,skilled,skilled education,7th grade or less,not allowed,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,20,skilled,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,local region,male,21,Farmer,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,undetermined,NA,NA,male,21,Farmer,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own country,male,21,skilled,skilled education,8th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,Europe,own town,male,21,functionary without education,NA,7th grade or less,not allowed,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,the whole world,male,21,armed forces,master from university,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,Europe,male,21,small buisnessowner,short buisness or computer science,real- girl- and preliminary examn,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,local region,male,22,small buisnessowner,NA,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,undetermined,own town,local region,male,22,functionary without education,NA,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,the whole world,male,22,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,22,non-skilled,NA,7th grade or less,dont know,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,local region,male,22,Farmer,NA,7th grade or less,not allowed,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,not checked
can't be too careful,very proud,local region,own country,male,22,Farmer,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,23,small buisnessowner,NA,7th grade or less,not allowed,checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,male,23,leading functionary,FE technical,real- girl- and preliminary examn,allowed,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own town,male,23,small buisnessowner,skilled education,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,local region,Europe,male,24,Farmer,other,7th grade or less,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,the whole world,male,24,functionary with education,skilled education,real- girl- and preliminary examn,not allowed,checked,not checked,checked,checked,not checked,not checked,not checked,checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,local region,own country,male,24,functionary without education,NA,7th grade or less,not allowed,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,own country,male,24,large buisnessowner,skilled education,7th grade or less,not allowed,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,25,functionary with education,military education,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,checked,not checked
most can be trusted,very proud,own town,own country,male,25,small buisnessowner,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own country,dont know,male,25,functionary with education,NA,7th grade or less,not allowed,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,checked,not checked
most can be trusted,very proud,own town,own country,male,26,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,local region,male,27,armed forces,military education,7th grade or less,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own town,male,27,non-skilled,NA,7th grade or less,not allowed,checked,checked,checked,checked,checked,not checked,checked,checked,checked,checked,checked,checked,checked,checked,not checked
most can be trusted,not very proud,own country,the whole world,male,27,leading functionary,master from university,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,27,functionary without education,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,own country,Europe,male,27,non-skilled,other,8th grade,not allowed,not checked,checked,not checked,checked,not checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,not checked
can't be too careful,very proud,own town,own country,male,27,leading functionary,skilled education,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
undetermined,not very proud,own country,local region,male,28,leading functionary,master from university,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,not very proud,local region,own country,male,28,non-skilled,NA,7th grade or less,dont know,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,local region,own country,male,28,functionary with education,buisness or banking,real- girl- and preliminary examn,either or,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,29,leading functionary,skilled education,7th grade or less,allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,male,29,non-skilled,NA,7th grade or less,not allowed,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,not checked
can't be too careful,quite proud,own town,local region,male,29,small buisnessowner,skilled education,7th grade or less,not allowed,checked,checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,29,small buisnessowner,NA,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked
most can be trusted,not very proud,own country,own town,male,29,functionary with education,education - 3-4 years,middleschool examn,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own country,own town,male,30,leading functionary,FE technical,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked
can't be too careful,very proud,own town,local region,male,30,leading functionary,NA,7th grade or less,either or,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,Europe,male,30,skilled,skilled education,8th grade,not allowed,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked
most can be trusted,very proud,own country,own town,male,30,Farmer,NA,7th grade or less,either or,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,checked,not checked,not checked,not checked,not checked
most can be trusted,not very proud,own town,local region,male,30,leading functionary,military education,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,quite proud,own town,own country,male,30,non-skilled,NA,7th grade or less,either or,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,local region,Europe,male,30,small buisnessowner,FE technical,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,30,non-skilled,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,quite proud,own town,Europe,male,31,leading functionary,military education,real- girl- and preliminary examn,not allowed,not checked,checked,checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,checked,not checked
can't be too careful,quite proud,own town,own country,male,31,skilled,skilled education,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,31,Farmer,other,7th grade or less,either or,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,own country,male,31,functionary without education,skilled education,7th grade or less,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,own country,male,31,functionary with education,skilled education,middleschool examn,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own country,own town,male,31,skilled,skilled education,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,local region,male,32,leading functionary,skilled education,2nd real,allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,checked,checked,checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,Europe,male,32,leading functionary,NA,7th grade or less,not allowed,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,checked,checked,checked,checked,not checked,not checked,not checked
most can be trusted,quite proud,own country,Europe,male,32,functionary with education,master from university,real- girl- and preliminary examn,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,32,large buisnessowner,skilled education,7th grade or less,not allowed,checked,not checked,not checked,checked,not checked,not checked,checked,checked,not checked,not checked,checked,checked,not checked,not checked,not checked
can't be too careful,very proud,own town,own country,male,32,non-skilled,NA,7th grade or less,allowed,not checked,not checked,checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,own country,male,32,leading functionary,skilled education,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,Europe,local region,male,32,large buisnessowner,skilled education,9th grade,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,local region,Europe,male,32,functionary with education,FE technical,student or HF,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,not very proud,dont know,dont know,male,32,functionary with education,skilled education,7th grade or less,allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
can't be too careful,very proud,own town,own country,male,32,small buisnessowner,skilled education,middleschool examn,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,very proud,own town,local region,male,32,leading functionary,buisness or banking,7th grade or less,not allowed,checked,not checked,checked,checked,checked,not checked,not checked,checked,not checked,checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own town,male,33,small buisnessowner,skilled education,7th grade or less,not allowed,not checked,checked,not checked,checked,not checked,not checked,not checked,checked,checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,very proud,own town,local region,male,33,armed forces,military education,7th grade or less,not allowed,checked,not checked,checked,checked,not checked,not checked,not checked,checked,not checked,not checked,checked,checked,checked,checked,not checked
can't be too careful,quite proud,own country,local region,male,33,Farmer,NA,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own town,own country,male,33,non-skilled,other,7th grade or less,not allowed,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked
most can be trusted,very proud,own country,own town,male,34,large buisnessowner,other,student or HF,not allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
most can be trusted,quite proud,own town,local region,male,34,leading functionary,social- and health - 3-4 years,real- girl- and preliminary examn,not allowed,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,local region,own country,male,34,Farmer,NA,7th grade or less,allowed,checked,not checked,checked,checked,checked,not checked,checked,checked,not checked,checked,checked,checked,not checked,checked,not checked
most can be trusted,quite proud,own town,own country,male,34,non-skilled,NA,7th grade or less,allowed,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own town,the whole world,male,34,functionary with education,education - 3-4 years,middleschool examn,allowed,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
can't be too careful,quite proud,own country,Europe,male,35,non-skilled,NA,7th grade or less,not allowed,checked,not checked,not checked,not checked,not checked,not checked,not checked,checked,not checked,not checked,checked,not checked,not checked,not checked,not checked
